Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QCL","Cultures et produits animaux","176","Timor-Leste","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","976","I","Valeur imputée"
"QCL","Cultures et produits animaux","217","Togo","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","26503","I","Valeur imputée"
"QCL","Cultures et produits animaux","218","Tokélaou","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","5","I","Valeur imputée"
"QCL","Cultures et produits animaux","219","Tonga","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","342","I","Valeur imputée"
"QCL","Cultures et produits animaux","220","Trinité-et-Tobago","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","38557","I","Valeur imputée"
"QCL","Cultures et produits animaux","222","Tunisie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","97648","I","Valeur imputée"
"QCL","Cultures et produits animaux","213","Turkménistan","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","15718","I","Valeur imputée"
"QCL","Cultures et produits animaux","223","Turquie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","379349","A","Chiffre officiel"
"QCL","Cultures et produits animaux","227","Tuvalu","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","56","E","Valeur estimée"
"QCL","Cultures et produits animaux","230","Ukraine","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","202511","A","Chiffre officiel"
"QCL","Cultures et produits animaux","234","Uruguay","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","39779","A","Chiffre officiel"
"QCL","Cultures et produits animaux","155","Vanuatu","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","521","E","Valeur estimée"
"QCL","Cultures et produits animaux","236","Venezuela (République bolivarienne du)","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","125070","I","Valeur imputée"
"QCL","Cultures et produits animaux","237","Viet Nam","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","409500","A","Chiffre officiel"
"QCL","Cultures et produits animaux","249","Yémen","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","70480","I","Valeur imputée"
"QCL","Cultures et produits animaux","251","Zambie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","40438","E","Valeur estimée"
"QCL","Cultures et produits animaux","181","Zimbabwe","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","16200","E","Valeur estimée"
